Review #,Brand,Variety,Style,Country,Stars,Top Ten,Alpha,Beta,Gamma,Delta,Eplison
2554,Yum-Mie,Instant Noodles Beef In Light Soup Flavour,Pack,Ghana,3.5,,250,32000,8000000,2000000000,3000000000
2553,Nissin,Hakata Ramen Noodle White Tonkotsu,Bowl,Japan,4.75,,250,32000,8000000,2000000000,3000000000
2552,MyKuali,Penang White Curry Rice Vermicelli Soup,Bowl,Malaysia,5,,250,32000,8000000,2000000000,3000000000
2551,KOKA,Signature Tom Yum Flavor Instant Noodles,Pack,Singapore,4,,250,32000,8000000,2000000000,3000000000
2550,Samyang Foods,Paegaejang Ramen,Pack,South Korea,5,,250,32000,8000000,2000000000,3000000000
2549,Nissin,Gekikara Ramen Extra Hot Ramen Goreng,Pack,Indonesia,4.5,,250,32000,8000000,2000000000,3000000000
2547,Sichuan Guangyou,Chongqing Spicy Hot Noodles,Bowl,China,4,,250,32000,8000000,2000000000,3000000000
2546,New Touch,Sugo-Men Kyoto Backfat Shoyu Ramen,Bowl,Japan,3.75,,250,32000,8000000,2000000000,3000000000
2545,KOKA,Instant Noodles Laksa Singapura Flavour,Pack,Singapore,5,,250,32000,8000000,2000000000,3000000000
2544,Lipton,Cup-A-Soup Chicken Noodle With White Meat Instant Soup,Box,USA,1.5,,250,32000,8000000,2000000000,3000000000
2543,KOKA,Curry Flavour Instant Noodles,Cup,Singapore,5,,250,32000,8000000,2000000000,3000000000
2542,Acecook,Super Cup Yochan Ika Yakisoba,Tray,Japan,1.5,,250,32000,8000000,2000000000,3000000000
2541,Nissin,Cup Noodles Very Veggie Spicy Chicken Flavor Ramen Noodle Soup,Cup,USA,5,,250,32000,8000000,2000000000,3000000000
2540,Wei Lih,GGE Noodle Snack Wheat Crackers Mexican Spicy,Pack,Taiwan,3.25,,250,32000,8000000,2000000000,3000000000
2539,Nissin,Demae Iccho Tonkotsu Flavour Instant Noodle,Cup,Hong Kong,3.75,,250,32000,8000000,2000000000,3000000000
2538,Nissin,Cup Noodles Very Veggie Beef Flavor Ramen Noodle Soup,Cup,USA,5,,250,32000,8000000,2000000000,3000000000
2537,Nissin,Cup NoodlesTom Yam Seafood (More Shrimptacular),Cup,Singapore,5,,250,32000,8000000,2000000000,3000000000
2536,Lele,Instant Noodles Beef,Pack,Ghana,3.5,,250,32000,8000000,2000000000,3000000000
2535,Nissin,Cup Noodles Very Veggie Chicken Flavor Ramen Noodle Soup,Cup,USA,5,,250,32000,8000000,2000000000,3000000000
2534,Fujiwara,Hokkaido Hakodate Shoyu Ramen,Pack,Japan,4,,250,32000,8000000,2000000000,3000000000
2533,Nongshim,Shin Ramyun Black,Pack,South Korea,5,,250,32000,8000000,2000000000,3000000000
2532,Nissin,Nippon Onomichi Ramen,Bowl,Japan,4.75,,250,32000,8000000,2000000000,3000000000
2531,Uni-President,Pickled Cabbage Beef,Pack,China,4.25,,250,32000,8000000,2000000000,3000000000
2530,Ottogi,Ppushu Ppushu Noodle Snack Honey Butter ,Pack,South Korea,2,,250,32000,8000000,2000000000,3000000000
2529,Maruchan,Gotsumori Chanpon Ramen,Bowl,Japan,4.5,,250,32000,8000000,2000000000,3000000000
2528,Prima,Juzz's Mee Creamy Chicken Flavour (Export Version),Pack,Singapore,5,,250,32000,8000000,2000000000,3000000000
2527,Uni-President,Mushroom Flavor,Pack,Vietnam,0,,250,32000,8000000,2000000000,3000000000
2526,Samyang Foods,Jjamppong Big Bowl,Bowl,South Korea,4.5,,250,32000,8000000,2000000000,3000000000
2525,Sokensha,Curry Udon,Pack,Japan,3.5,,250,32000,8000000,2000000000,3000000000
2524,Nissin,Straits Reborn Laksa,Pack,Singapore,5,,250,32000,8000000,2000000000,3000000000
2523,Nongshim,Budae Jjigae Noodle Soup,Pack,South Korea,4.5,,250,32000,8000000,2000000000,3000000000
2522,Takamori,Hearty Japanese Style Curry Udon,Pack,Japan,5,,250,32000,8000000,2000000000,3000000000
2521,Nissin,Cup Noodles Potato Chips Black Pepper Crab Flavour,Pack,Singapore,4.5,,250,32000,8000000,2000000000,3000000000
2520,Nissin,Cup Noodles Blacl Pepper Crab Flavour (More Angry Crab),Cup,Singapore,5,,250,32000,8000000,2000000000,3000000000
2519,Guava Story,Anchovy Flavor Guava Rice Noodles,Tray,South Korea,1,,250,32000,8000000,2000000000,3000000000
2518,Samurai Ramen,Umami Ramen,Pack,Japan,4,,250,32000,8000000,2000000000,3000000000
2517,Ikeda Shoku,Nabeyaki Tempura Udoin,Bowl,Japan,4.5,,250,32000,8000000,2000000000,3000000000
2516,Fujiwara,Hokkaido Hakodate Miso Ramen,Pack,Japan,3.5,,250,32000,8000000,2000000000,3000000000
2515,Uni-President,Man Han Feast Spicy Beef Flavor Instant Noodles,Bowl,Taiwan,5,,250,32000,8000000,2000000000,3000000000
2514,Ogasawara,Kirin Giraffe Shoyu Ramen,Pack,Japan,4.5,,250,32000,8000000,2000000000,3000000000
2513,Pringles,Nissin Top Ramen Chicken Flavor Potato Crisps ,Can,USA,3.5,,250,32000,8000000,2000000000,3000000000
2512,Mom's Dry Noodle,Dan Dan Noodle,Pack,Taiwan,5,,250,32000,8000000,2000000000,3000000000
2511,Samyang Foods,Samyang Ramen Classic Edition,Bowl,South Korea,5,,250,32000,8000000,2000000000,3000000000
2510,MyKuali,Penang Red Tom Yum Goong Noodle,Pack,Malaysia,5,,250,32000,8000000,2000000000,3000000000
2509,Maggi,Hot Heads Green Chilli Noodles,Pack,India,3.5,,250,32000,8000000,2000000000,3000000000
2508,Samyang Foods,Mala Buldak Bokkeummyun,Pack,South Korea,3.75,,250,32000,8000000,2000000000,3000000000
2507,Indomie,RMy Noodlez Rumput Laut,Pack,Indonesia,4,,250,32000,8000000,2000000000,3000000000
2506,KOKA,Delight Chicken Flavor Instant Non-Fried Noodles,Pack,Singapore,3.75,,250,32000,8000000,2000000000,3000000000
2505,Acecook,Super Cup Torigawa Shoyu,Bowl,Japan,3.5,,250,32000,8000000,2000000000,3000000000
2504,Nongshim,Shin Ramyun,Pack,South Korea,3,,250,32000,8000000,2000000000,3000000000
2503,Sichuan Guangyou,Sweet Potato Instant Noodle Sout-Hot Flavor,Bowl,China,0,,250,32000,8000000,2000000000,3000000000
2502,Indomie,Onion Chicken Flavor,Pack,Nigeria,1.5,,250,32000,8000000,2000000000,3000000000
2501,Happy Cook,Toona Paste Noodle,Pack,Taiwan,4,,250,32000,8000000,2000000000,3000000000
2500,The Ramen Rater Select,Supreme Creamy Tom Yum Noodle,Box,Malaysia,5,,250,32000,8000000,2000000000,3000000000
2499,KOKA,Creamy Soup With Crushed Noodles Chicken Flavor,Cup,Singapore,5,,250,32000,8000000,2000000000,3000000000
2498,Nissin,Demae Ramen Spicy Beef,Pack,Germany,3.75,,250,32000,8000000,2000000000,3000000000
2497,Nissin,Cup Noodles Spicy,Cup,Germany,3.75,,250,32000,8000000,2000000000,3000000000
2496,Nissin,Soba Thai,Pack,Germany,4.5,,250,32000,8000000,2000000000,3000000000
2495,Nissin,Cup Noodles Huhn (Chicken),Cup,Germany,3.75,,250,32000,8000000,2000000000,3000000000
2494,Nissin,Demae Ramen Korean Kimchi,Pack,Germany,3.5,,250,32000,8000000,2000000000,3000000000
2493,Nissin,Cup Noodles Curry,Cup,Germany,3.75,,250,32000,8000000,2000000000,3000000000
2492,Nissin,Smack Chili,Pack,Hungary,3.75,,250,32000,8000000,2000000000,3000000000
2491,Nissin,Soba Yakitori Chicken,Cup,Germany,5,,250,32000,8000000,2000000000,3000000000
2490,Nissin,Demae Ramen Garlic Chicken,Pack,Germany,3.5,,250,32000,8000000,2000000000,3000000000
2489,Nissin,Cup Noodles Ente (Duck),Cup,Germany,3,,250,32000,8000000,2000000000,3000000000
2488,Nissin,Demae Ramen Thai Tom Yum,Pack,Germany,3.75,,250,32000,8000000,2000000000,3000000000
2487,Nissin,Soba Sukiyaki Beef,Cup,Germany,4.5,,250,32000,8000000,2000000000,3000000000
2486,Nissin,Demae Ramen Spicy,Pack,Germany,3.5,,250,32000,8000000,2000000000,3000000000
2485,Nissin,Cup Noodles Shrimps,Cup,Germany,3,,250,32000,8000000,2000000000,3000000000
2484,Nissin,Demae Ramen Tokyo Soy Sauce,Pack,Germany,4,,250,32000,8000000,2000000000,3000000000
2483,Paldo,Bul Jjamppong,Bowl,South Korea,5,,250,32000,8000000,2000000000,3000000000
2482,TTL,Chicken With Chinese Shaoxing Wine,Pack,Taiwan,4.75,,250,32000,8000000,2000000000,3000000000
2481,Samyang Foods,Buldak Bokkeummyun,Cup,South Korea,3.75,,250,32000,8000000,2000000000,3000000000
2480,Acecook,Pork Wantan Men,Bowl,Japan,4.25,,250,32000,8000000,2000000000,3000000000
2479,E-Zee,Instant Noodles Chicken Flavour,Pack,Malaysia,4,,250,32000,8000000,2000000000,3000000000
2478,Kiki Noodle,Scallion Oil & Soy Sauce Noodle,Pack,Taiwan,5,,250,32000,8000000,2000000000,3000000000
2477,Kiki Noodle,Sichuan Spices Flavor Noodle,Pack,Taiwan,5,,250,32000,8000000,2000000000,3000000000
2476,Samyang Foods,Kimchi Stew Ramyun,Bowl,South Korea,4,,250,32000,8000000,2000000000,3000000000
2475,Maruchan,Seimen Red Spicy Dandan Men,Bowl,Japan,4.75,,250,32000,8000000,2000000000,3000000000
2474,Ottogi,Ppushu Ppushu Noodle Snack Chilli Cheese Flavor,Pack,South Korea,4.25,,250,32000,8000000,2000000000,3000000000
2473,Tokyo Noodle,Mini Instant Noodle Mild Curry Flavor,Pack,Japan,2,,250,32000,8000000,2000000000,3000000000
2472,GGE,Noodle Snack Wheat Cracks Seaweed Flavor,Pack,Taiwan,3.5,,250,32000,8000000,2000000000,3000000000
2471,Nissin,Cup Noodles Mini Seafood Flavour,Cup,Hong Kong,5,,250,32000,8000000,2000000000,3000000000
2470,Myojo,Udon Japanese Style Noodles With Soup Base Hot & Sour Flavor,Pack,USA,3.75,,250,32000,8000000,2000000000,3000000000
2469,KOKA,Signature Curry Flavor Instant Noodles,Cup,Singapore,3.5,,250,32000,8000000,2000000000,3000000000
2468,Acecook,Dossari Yasai Chanpon,Cup,Japan,4.25,,250,32000,8000000,2000000000,3000000000
2467,Paldo,Volcano Curry Kkokkomyun,Pack,South Korea,3.5,,250,32000,8000000,2000000000,3000000000
2466,Sau Tao,Instant Noodle King Pepper Duck Flavour Soup,Pack,Hong Kong,4,,250,32000,8000000,2000000000,3000000000
2465,Nissin,Cup Noodles XO Sauce Seafood,Cup,China,3.75,,250,32000,8000000,2000000000,3000000000
2464,Wang,Extreme Spicy Hot Chicken Flavor Udon,Bowl,South Korea,2,,250,32000,8000000,2000000000,3000000000
2463,Nissin,Gekikara Ramen Rasa Pedas,Pack,Indonesia,3.25,,250,32000,8000000,2000000000,3000000000
2462,TTL,Sesame Oil Chicken Noodle With Rice Wine,Bowl,Taiwan,5,,250,32000,8000000,2000000000,3000000000
2461,Fujiwara,Hokkaido Hakodate Shio Ramen,Pack,Japan,4.5,,250,32000,8000000,2000000000,3000000000
2460,Daifuku,Katsuo Bowl Udon,Bowl,USA,5,,250,32000,8000000,2000000000,3000000000
2459,Nissin,Cup Noodles MUG Shoyu & Seafood,Pack,Japan,3.5,,250,32000,8000000,2000000000,3000000000
2457,KOKA,Instant Noodles Chicken Satay Flavour,Pack,Singapore,3.5,,250,32000,8000000,2000000000,3000000000
2456,KOKA,Signature Spicy Singapore Fried Noodles Instant Noodles,Pack,Singapore,4.25,,250,32000,8000000,2000000000,3000000000
2455,KOKA,Creamy Soup With Crushed Noodles Sweet Corn Flavor,Cup,Singapore,5,,250,32000,8000000,2000000000,3000000000
2454,KOKA,Silk Beef Pho Flavor Instant Rice Fettuccine,Bowl,Singapore,3.25,,250,32000,8000000,2000000000,3000000000
2453,KOKA,Delight Spicy Sesame Flavor Instant Non-Fried Noodles,Pack,Singapore,4.5,,250,32000,8000000,2000000000,3000000000
2452,KOKA,Signature Laksa Singapura Instant Noodles,Bowl,Singapore,5,,250,32000,8000000,2000000000,3000000000
2451,KOKA,Delight Spicy Black Pepper Flavor Instant Non-Fried Noodles,Pack,Singapore,5,,250,32000,8000000,2000000000,3000000000
2450,KOKA,Purple Wheat Noodles Chili & Lime Flavor,Pack,Singapore,4,,250,32000,8000000,2000000000,3000000000
2449,KOKA,Delight Tomato Flavor Instant Non-Fried Noodles,Pack,Singapore,5,,250,32000,8000000,2000000000,3000000000
2448,KOKA,Seafood Flavor Instant Noodles,Cup,Singapore,3.5,,250,32000,8000000,2000000000,3000000000
2447,KOKA,Signature Stir-Fry Original Flavor Instant Noodles,Pack,Singapore,3,,250,32000,8000000,2000000000,3000000000
2446,KOKA,Creamy Soup Witrh Crushed Noodles Curry Flavor,Cup,Singapore,5,,250,32000,8000000,2000000000,3000000000
2445,KOKA,Delight Laksa Singapura Flavor Instant Non-Fried Noodles,Pack,Singapore,4.25,,250,32000,8000000,2000000000,3000000000
2444,KOKA,Silk Spicy Marinara Instant Rice Fettuccine,Bowl,Singapore,5,,250,32000,8000000,2000000000,3000000000
2443,KOKA,Signature Chicken Flavor Instant Noodles,Cup,Singapore,3.75,,250,32000,8000000,2000000000,3000000000
2442,Nissin,Cup Noodles Sopa Nissin Hot Sauce Con Camaron,Cup,Mexico,3.5,,250,32000,8000000,2000000000,3000000000
2441,MyKuali,Penang Hokkien Prawn Flavor Noodle,Box,Japan,5,,250,32000,8000000,2000000000,3000000000
2440,Master Kong,Roasted Pork Noodle,Pack,China,4.5,,250,32000,8000000,2000000000,3000000000
2439,Uni-President,Man Han Feast Super Hot Pot Beef Flavor Instant Noodles,Bowl,Taiwan,5,,250,32000,8000000,2000000000,3000000000
2438,World O' Noodle,Mi Goreng Original Flavour Fried Noodles,Pack,Indonesia,5,,250,32000,8000000,2000000000,3000000000
2437,Nissin,Raoh Nojyuku Toro Tonkotsu Ramen,Bowl,Japan,4.5,,250,32000,8000000,2000000000,3000000000
2436,Kang Shi Fu,Artificial Dongpo's Braised Pork Flavour,Pack,Hong Kong,4.75,,250,32000,8000000,2000000000,3000000000
2435,Mum Ngon,Lau Tom Chua Cay,Pack,Vietnam,3.5,,250,32000,8000000,2000000000,3000000000
2434,Happy Cook,Old Beijing Fried Bean Sauce Noodle,Pack,Taiwan,4.25,,250,32000,8000000,2000000000,3000000000
2433,Nissin,Cup Noodles Indonesia Mie Goreng,Cup,Japan,3.75,,250,32000,8000000,2000000000,3000000000
2432,Fashion Food,Yummy Spicy Rice Soup With Seafood,Bowl,Thailand,3.5,,250,32000,8000000,2000000000,3000000000
2431,Dream Kitchen,Udon Japanese Style Fresh Noodle,Bowl,USA,3.75,,250,32000,8000000,2000000000,3000000000
2430,MyKuali,MeeKuali Bihun Sup Rempah Perisa Daging,Pack,Malaysia,5,,250,32000,8000000,2000000000,3000000000
2429,New Touch,T's Restaurant Sura Tanmen,Cup,Japan,4,,250,32000,8000000,2000000000,3000000000
2428,TTL,Sesame Oil Chicken With Rice Wine Noodle,Bowl,Taiwan,5,,250,32000,8000000,2000000000,3000000000
2427,Ajinatori,HALAL Chicken Shoyu Sauce Ramen,Pack,Japan,2.5,,250,32000,8000000,2000000000,3000000000
2426,Dr. McDougall's,Vegan Pad Thai Noodle Soup,Cup,USA,0,,250,32000,8000000,2000000000,3000000000
2425,Nissin,Seafood Flavour Rice Vermicelli,Cup,Hong Kong,5,,250,32000,8000000,2000000000,3000000000
2424,Samyang Foods,Cheese Type Buldak Bokkeummyun (Black Pkg),Pack,South Korea,3.75,,250,32000,8000000,2000000000,3000000000
2423,Ve Wong,Kung-Fu Instant Oriental Noodles Soup Artificial Onion Flavor,Pack,Taiwan,3.5,,250,32000,8000000,2000000000,3000000000
2422,Nissin,Cup Noodles Sopa Nissin Con Camaron Picante,Cup,Mexico,3.25,,250,32000,8000000,2000000000,3000000000
2421,Uni-President,Baseball Snack Noodle,Pack,Taiwan,5,,250,32000,8000000,2000000000,3000000000
2420,Nissin,Cup Noodles Spicy Seafood Flavor,Cup,China,3.75,,250,32000,8000000,2000000000,3000000000
2419,MyKuali,Penang Red Tom Yum Goong,Box,Japan,5,,250,32000,8000000,2000000000,3000000000
2418,Myojo,Yomise No Yakisoba Karashi Mentaiko Flavor,Tray,Japan,4.5,,250,32000,8000000,2000000000,3000000000
2417,Super Bihun,Bihun Kuah Rasa Baso Sapi,Pack,Indonesia,3.75,,250,32000,8000000,2000000000,3000000000
2416,Xiuhe,Hot & Sour Beef Noodles,Bowl,China,4.25,,250,32000,8000000,2000000000,3000000000
2415,Nissin,Kitsune Udon Donbei (West),Bowl,Japan,5,,250,32000,8000000,2000000000,3000000000
2414,Little Cook,Thailand Green Curry Instant Noodle,Bowl,Taiwan,5,,250,32000,8000000,2000000000,3000000000
2413,Nissin,Cup Noodles Beef Flavour,Cup,Hong Kong,2.5,,250,32000,8000000,2000000000,3000000000
2412,Shirakiku,Sanukiya Udon Shrimp Flavor,Pack,USA,3.25,,250,32000,8000000,2000000000,3000000000
2411,Mama Pat's,Chicken Fajita Flavor Instant Ramen Noodles,Pack,USA,3.75,,250,32000,8000000,2000000000,3000000000
2410,Mama Pat's,Lamb Stew Flavor Instant Ramen Noodles,Pack,USA,3.75,,250,32000,8000000,2000000000,3000000000
2409,Mama Pat's,Seafood Gumbo Flavor Instant Ramen Noodles,Pack,USA,3.5,,250,32000,8000000,2000000000,3000000000
2408,Mama Pat's,Chicken Taco Flavor Instant Ramen Noodles,Pack,USA,3.75,,250,32000,8000000,2000000000,3000000000
2407,Just Way,Chuan Wei Spicy Guan-miao Noodles,Pack,Taiwan,4.5,,250,32000,8000000,2000000000,3000000000
2406,Sichuan Guangyou,Sweet Potato Instant Noodle Braised Spicy Chitterling Flavor,Pack,China,0.25,,250,32000,8000000,2000000000,3000000000
2405,Nissin,Cup Noodles Mini Spicy Seafood,Cup,Hong Kong,4,,250,32000,8000000,2000000000,3000000000
2404,MyKuali,Penang Hokkien Prawn Noodle Soup,Pack,Singapore,5,,250,32000,8000000,2000000000,3000000000
2403,Goku-Uma,Yakisoba Japanese Style Noodle,Bowl,USA,4.75,,250,32000,8000000,2000000000,3000000000
2402,Maggi,Nutri-licious Pazzta Tomato Twist,Pack,India,3.75,,250,32000,8000000,2000000000,3000000000
2401,Sichuan Baijia,Chongqing Noodles Burning Dry Noodles,Bowl,China,5,,250,32000,8000000,2000000000,3000000000
2400,Nissin,Cup Noodles Tom Yam Seafood Flavour,Cup,Singapore,5,,250,32000,8000000,2000000000,3000000000
2399,Indomie,My Noodles Mi Goreng Pizza Cheese,Pack,Indonesia,4,,250,32000,8000000,2000000000,3000000000
2398,Liang Cheng Mai,Shaanxi Cold Noodle: Mustard Spicy,Tray,China,1,,250,32000,8000000,2000000000,3000000000
2397,Samyang Foods,Cheese Buldak Bokkeummyun (Black),Bowl,South Korea,4,,250,32000,8000000,2000000000,3000000000
2396,Maggi,2 Minute Noodles Chicken Flavour,Pack,Fiji,3.25,,250,32000,8000000,2000000000,3000000000
2395,Master Kong,Chicken Flavor Instant Noolde,Pack,China,4.25,,250,32000,8000000,2000000000,3000000000
2394,Nissin,Cup Noodles Prawn Flavour,Cup,Hong Kong,3.75,,250,32000,8000000,2000000000,3000000000
2393,Ripe'n'Dry,Hokkaido Miso Ramen,Pack,Japan,3,,250,32000,8000000,2000000000,3000000000
2392,MyKuali,Penang Red Tom Yum Goong Rice Vermicelli Soup,Bowl,Malaysia,5,,250,32000,8000000,2000000000,3000000000
2391,Ottogi,Jin Jjambbong Spicy Seafood Ramyun,Pack,South Korea,5,,250,32000,8000000,2000000000,3000000000
2390,Nissin,Rice Vermicelli Pickled Vegetable Pork Flavour,Cup,Hong Kong,3.75,,250,32000,8000000,2000000000,3000000000
2389,Gefen,Imitation Chicken Flavor,Cup,USA,4,,250,32000,8000000,2000000000,3000000000
2388,Hua Feng,Three Fresh Delicacies Instant Noodle,Pack,China,4.25,,250,32000,8000000,2000000000,3000000000
2387,Nissin,Demae Iccho Sesame Oil Flavour Instant Noodle,Bowl,Hong Kong,3.5,,250,32000,8000000,2000000000,3000000000
2386,Maggi,2 Minute Noodles Curry Flavour,Pack,Fiji,4,,250,32000,8000000,2000000000,3000000000
2385,Uni-President,Man Han Feast Chilli Beef Flavor Instant Noodles,Bowl,Taiwan,4.75,,250,32000,8000000,2000000000,3000000000
2384,Sichuan Guangyou,9999 Chongqing Artificial Beef Flavor Instant Noodle,Pack,China,4.25,,250,32000,8000000,2000000000,3000000000
2383,Nissin,Cup Noodles Beef Flavor Ramen Noodle Soup (New Recipe),Cup,USA,3.5,,250,32000,8000000,2000000000,3000000000
2382,Nongshim,Seaweed Instant Noodle,Cup,South Korea,0.5,,250,32000,8000000,2000000000,3000000000
2381,Nissin,Demae Iccho Seafood Flavour Instant Noodle,Cup,Hong Kong,4.75,,250,32000,8000000,2000000000,3000000000
2380,Pulmuone,Non-Fried Ramyun With Spicy Beef Broth,Pack,South Korea,3.75,,250,32000,8000000,2000000000,3000000000
2379,Nissin,Cup Noodles Hot & Spicy Shrimp Flavor Ramen Noodle Soup (New Recipe),Cup,USA,2.5,,250,32000,8000000,2000000000,3000000000
2378,Sau Tao,Non-Fried Mix Noodle Black Pepper XO Sauce Flavoured,Pack,Hong Kong,4.5,,250,32000,8000000,2000000000,3000000000
2377,MyKuali,Penang White Curry Instant Noodle (Japan Version),Box,Malaysia,5,,250,32000,8000000,2000000000,3000000000
2376,Nissin,Disney Cuties Instant Chicken With Corn Flavour,Cup,Thailand,3.25,,250,32000,8000000,2000000000,3000000000
2375,Uni-President,Man Han Feast Braised Pork Flavor Instant Noodles,Bowl,Taiwan,5,,250,32000,8000000,2000000000,3000000000
2374,World O' Noodle,Mi Goreng Garlic Flavour Fried Noodles,Pack,Indonesia,4.5,,250,32000,8000000,2000000000,3000000000
2373,Nissin,Top Ramen Atta Nooldes Masala,Pack,India,4.5,,250,32000,8000000,2000000000,3000000000
2372,Liu Quan,Instant Spicy Rice Noodle,Bowl,China,4,,250,32000,8000000,2000000000,3000000000
2371,Daikoku,Tanuki Soba,Cup,Japan,3.5,,250,32000,8000000,2000000000,3000000000
2370,Samyang Foods,Zzaldduck Buldak Bokkeummyun Snack,Pack,South Korea,4.5,,250,32000,8000000,2000000000,3000000000
2369,Samyang Foods,Curry Buldak Bokkeummyun,Pack,South Korea,4.25,,250,32000,8000000,2000000000,3000000000
2368,Samyang Foods,Cool/Ice Buldak Bokkeummyun,Pack,South Korea,3.75,,250,32000,8000000,2000000000,3000000000
2367,Samyang Foods,2x Spicy Haek Buldak Bokkeummyun,Pack,South Korea,4,,250,32000,8000000,2000000000,3000000000
2366,Samyang Foods,Buldak Bokkeummyun Snack,Pack,South Korea,5,,250,32000,8000000,2000000000,3000000000
2365,Samyang Foods,Stew Buldak Bokkeumtangmyun,Pack,South Korea,5,,250,32000,8000000,2000000000,3000000000
2364,Samyang Foods,Cheese Buldak Bokkeummyun,Pack,South Korea,4,,250,32000,8000000,2000000000,3000000000
2363,Samyang Foods,Buldak Bokkeummyun (New Packaging),Pack,South Korea,4,,250,32000,8000000,2000000000,3000000000
2362,Chuan Wei Wang,Bowl Instant Noodles Artificial Spicy Beef Flavor,Bowl,China,4,,250,32000,8000000,2000000000,3000000000
2361,Nissin,Demae Iccho Chicken Flavour Instant Noodle (Bowl Noodle),Bowl,Hong Kong,5,,250,32000,8000000,2000000000,3000000000
2360,Wai Wai,Instant Noodles Artificial Chicken Flavoured,Pack,India,2,,250,32000,8000000,2000000000,3000000000
2359,Daikoku,Kitsune Udon,Cup,Japan,2,,250,32000,8000000,2000000000,3000000000
2358,Sichuan Baijia,Pickled Cabbage Flavor Instant Vermicelli,Bowl,China,4,,250,32000,8000000,2000000000,3000000000
2357,Kamfen,Noodle King Artificial Wonton Soup Flavored,Bowl,Hong Kong,5,,250,32000,8000000,2000000000,3000000000
2356,Nongshim,Spicy Shrimp Cup Noodle,Cup,South Korea,4,,250,32000,8000000,2000000000,3000000000
2355,Marutai,Nagasaki Agodashi Shoyu Ramen,Pack,Japan,4,,250,32000,8000000,2000000000,3000000000
2354,Vifon,Viet Cuisine Bun Rieu Cua Sour Crab Soup Instant Rice Vermicelli,Bowl,Vietnam,5,,250,32000,8000000,2000000000,3000000000
2353,Nissin,"Cup Noodles Rich Garlic, Egg Yolk & Oxtail",Cup,Japan,4,,250,32000,8000000,2000000000,3000000000
2352,Uni-President,Minced Pork Flavor Instant Noodles,Pack,Taiwan,1,,250,32000,8000000,2000000000,3000000000
2351,1 To 3 Noodles,Chatpat Masala,Pack,India,4,,250,32000,8000000,2000000000,3000000000
